SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
optimem_plate,A1,07777721,B2,32.4,optimem
optimem_plate,A1,07777721,B3,32.4,optimem
optimem_plate,A1,07777721,B4,32.4,optimem
optimem_plate,A1,07777721,C3,32.4,optimem
optimem_plate,A1,07777721,D2,32.4,optimem
optimem_plate,A1,07777721,F2,32.4,optimem
optimem_plate,A1,07777721,H2,32.4,optimem
optimem_plate,A1,07777721,I10,32.4,optimem
optimem_plate,A1,07777721,K10,32.4,optimem
optimem_plate,A1,07777721,M10,32.4,optimem
optimem_plate,A1,07777721,O10,32.4,optimem
