SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
complexes,A1,07777721,B2,36.4,mix1 (1400)
complexes,A1,07777721,B3,36.4,mix1 (1400)
complexes,A1,07777721,B4,36.4,mix1 (1400)
complexes,A1,07777721,C3,36.4,mix1 (1400)
complexes,A1,07777721,D2,36.4,mix1 (1400)
complexes,A1,07777721,F2,36.4,mix1 (1400)
complexes,A1,07777721,H2,36.4,mix1 (1400)
complexes,A1,07777721,I10,36.4,mix1 (1400)
complexes,A1,07777721,K10,36.4,mix1 (1400)
complexes,A1,07777721,M10,36.4,mix1 (1400)
complexes,A1,07777721,O10,36.4,mix1 (1400)
