SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
optimem_plate,A1,07777711,B2,32.4,optimem
optimem_plate,A1,07777711,B3,32.4,optimem
optimem_plate,A1,07777711,B4,32.4,optimem
optimem_plate,A1,07777711,C3,32.4,optimem
optimem_plate,A1,07777711,C4,32.4,optimem
optimem_plate,A1,07777711,D2,32.4,optimem
optimem_plate,A1,07777711,F2,32.4,optimem
optimem_plate,A1,07777711,H2,32.4,optimem
optimem_plate,A1,07777711,I10,32.4,optimem
optimem_plate,A1,07777711,K10,32.4,optimem
optimem_plate,A1,07777711,M10,32.4,optimem
optimem_plate,A1,07777711,O10,32.4,optimem
