SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
complexes,A1,09999999,B3,15.2,mix1 (140)
complexes,A1,09999999,B4,15.2,mix1 (140)
complexes,A1,09999999,B5,15.2,mix1 (140)
complexes,A1,09999999,B6,15.2,mix1 (140)
complexes,A1,09999999,C3,15.2,mix1 (140)
complexes,A1,09999999,C4,15.2,mix1 (140)
complexes,A1,09999999,C5,15.2,mix1 (140)
complexes,A1,09999999,C6,15.2,mix1 (140)
complexes,A1,09999999,D3,15.2,mix1 (140)
complexes,A1,09999999,D4,15.2,mix1 (140)
complexes,A1,09999999,D5,15.2,mix1 (140)
complexes,A1,09999999,D6,15.2,mix1 (140)
complexes,A1,09999999,E3,15.2,mix1 (140)
complexes,A1,09999999,E4,15.2,mix1 (140)
complexes,A1,09999999,F3,15.2,mix1 (140)
complexes,A1,09999999,F4,15.2,mix1 (140)
