SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume
09999990,B2,08880211,B2,5
09999990,B3,08880211,B3,5
09999990,B4,08880211,B4,5
09999990,B4,08880211,B5,5
09999990,C2,08880211,C2,5
09999990,C3,08880211,C3,5
09999990,C4,08880211,C4,5
09999990,C4,08880211,C5,5
09999990,D2,08880211,D2,5
09999990,D2,08880211,D3,5
09999990,D4,08880211,D4,5
09999990,D4,08880211,D5,5
09999990,B2,08880212,B2,5
09999990,B3,08880212,B3,5
09999990,B4,08880212,B4,5
09999990,B4,08880212,B5,5
09999990,C2,08880212,C2,5
09999990,C3,08880212,C3,5
09999990,C4,08880212,C4,5
09999990,C4,08880212,C5,5
09999990,D2,08880212,D2,5
09999990,D2,08880212,D3,5
09999990,D4,08880212,D4,5
09999990,D4,08880212,D5,5
09999990,B2,08880221,B2,5
09999990,B3,08880221,B3,5
09999990,B4,08880221,B4,5
09999990,B4,08880221,B5,5
09999990,C2,08880221,C2,5
09999990,C3,08880221,C3,5
09999990,C4,08880221,C4,5
09999990,C4,08880221,C5,5
09999990,D2,08880221,D2,5
09999990,D2,08880221,D3,5
09999990,D4,08880221,D4,5
09999990,D4,08880221,D5,5
09999990,B2,08880222,B2,5
09999990,B3,08880222,B3,5
09999990,B4,08880222,B4,5
09999990,B4,08880222,B5,5
09999990,C2,08880222,C2,5
09999990,C3,08880222,C3,5
09999990,C4,08880222,C4,5
09999990,C4,08880222,C5,5
09999990,D2,08880222,D2,5
09999990,D2,08880222,D3,5
09999990,D4,08880222,D4,5
09999990,D4,08880222,D5,5
