SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume
09999999,B2,08880011,B2,5
09999999,B3,08880011,B3,5
09999999,B4,08880011,B4,5
09999999,B4,08880011,B5,5
09999999,C2,08880011,C2,5
09999999,C3,08880011,C3,5
09999999,C4,08880011,C4,5
09999999,C4,08880011,C5,5
09999999,D2,08880011,D2,5
09999999,D2,08880011,D3,5
09999999,D4,08880011,D4,5
09999999,D4,08880011,D5,5
09999999,B2,08880012,B2,5
09999999,B3,08880012,B3,5
09999999,B4,08880012,B4,5
09999999,B4,08880012,B5,5
09999999,C2,08880012,C2,5
09999999,C3,08880012,C3,5
09999999,C4,08880012,C4,5
09999999,C4,08880012,C5,5
09999999,D2,08880012,D2,5
09999999,D2,08880012,D3,5
09999999,D4,08880012,D4,5
09999999,D4,08880012,D5,5
09999999,B2,08880021,B2,5
09999999,B3,08880021,B3,5
09999999,B4,08880021,B4,5
09999999,B4,08880021,B5,5
09999999,C2,08880021,C2,5
09999999,C3,08880021,C3,5
09999999,C4,08880021,C4,5
09999999,C4,08880021,C5,5
09999999,D2,08880021,D2,5
09999999,D2,08880021,D3,5
09999999,D4,08880021,D4,5
09999999,D4,08880021,D5,5
09999999,B2,08880022,B2,5
09999999,B3,08880022,B3,5
09999999,B4,08880022,B4,5
09999999,B4,08880022,B5,5
09999999,C2,08880022,C2,5
09999999,C3,08880022,C3,5
09999999,C4,08880022,C4,5
09999999,C4,08880022,C5,5
09999999,D2,08880022,D2,5
09999999,D2,08880022,D3,5
09999999,D4,08880022,D4,5
09999999,D4,08880022,D5,5
