SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
optimem_plate,A1,09999990,B3,11.4,optimem
optimem_plate,A1,09999990,B4,11.4,optimem
optimem_plate,A1,09999990,B5,11.4,optimem
optimem_plate,A1,09999990,B6,11.4,optimem
optimem_plate,A1,09999990,C3,11.4,optimem
optimem_plate,A1,09999990,C4,11.4,optimem
optimem_plate,A1,09999990,C5,11.4,optimem
optimem_plate,A1,09999990,C6,11.4,optimem
optimem_plate,A1,09999990,D3,11.4,optimem
optimem_plate,A1,09999990,D4,11.4,optimem
optimem_plate,A1,09999990,D5,11.4,optimem
optimem_plate,A1,09999990,D6,11.4,optimem
optimem_plate,A1,09999990,E3,11.4,optimem
optimem_plate,A1,09999990,E4,11.4,optimem
optimem_plate,A1,09999990,E5,11.4,optimem
optimem_plate,A1,09999990,E6,11.4,optimem
optimem_plate,A1,09999990,F3,11.4,optimem
optimem_plate,A1,09999990,F4,11.4,optimem
