SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
complexes,A1,09999990,B3,15.2,mix1 (140)
complexes,A1,09999990,B4,15.2,mix1 (140)
complexes,A1,09999990,B5,15.2,mix1 (140)
complexes,A1,09999990,B6,15.2,mix1 (140)
complexes,A1,09999990,C3,15.2,mix1 (140)
complexes,A1,09999990,C4,15.2,mix1 (140)
complexes,A1,09999990,C5,15.2,mix1 (140)
complexes,A1,09999990,C6,15.2,mix1 (140)
complexes,A1,09999990,D3,15.2,mix1 (140)
complexes,A1,09999990,D4,15.2,mix1 (140)
complexes,A1,09999990,D5,15.2,mix1 (140)
complexes,A1,09999990,D6,15.2,mix1 (140)
complexes,A1,09999990,E3,15.2,mix1 (140)
complexes,A1,09999990,E4,15.2,mix1 (140)
complexes,A1,09999990,E5,15.2,mix1 (140)
complexes,A1,09999990,E6,15.2,mix1 (140)
complexes,A1,09999990,F3,15.2,mix1 (140)
complexes,A1,09999990,F4,15.2,mix1 (140)
