SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
buffer,A1,09999911,B2,32.3,annealing buffer
buffer,A1,09999911,B3,32.3,annealing buffer
buffer,A1,09999911,B4,32.3,annealing buffer
buffer,A1,09999911,D2,32.3,annealing buffer
buffer,A1,09999911,D3,32.3,annealing buffer
buffer,A1,09999911,D4,32.3,annealing buffer
buffer,A1,09999210,C3,5,annealing buffer
buffer,A1,09999210,C5,5,annealing buffer
buffer,A1,09999210,C7,5,annealing buffer
buffer,A1,09999210,D3,14,annealing buffer
buffer,A1,09999210,D5,14,annealing buffer
buffer,A1,09999210,D7,14,annealing buffer
buffer,A1,09999210,G3,5,annealing buffer
buffer,A1,09999210,G5,5,annealing buffer
buffer,A1,09999210,G7,5,annealing buffer
buffer,A1,09999210,H3,14,annealing buffer
buffer,A1,09999210,H5,14,annealing buffer
buffer,A1,09999210,H7,14,annealing buffer
