SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
buffer,A1,09999220,B3,5,annealing buffer
buffer,A1,09999220,B5,5,annealing buffer
buffer,A1,09999220,B7,5,annealing buffer
buffer,A1,09999220,E3,10,annealing buffer
buffer,A1,09999220,E5,10,annealing buffer
buffer,A1,09999220,E7,10,annealing buffer
buffer,A1,09999220,F3,13,annealing buffer
buffer,A1,09999220,F5,13,annealing buffer
buffer,A1,09999220,F7,13,annealing buffer
buffer,A1,09999210,B3,5,annealing buffer
buffer,A1,09999210,B5,5,annealing buffer
buffer,A1,09999210,B7,5,annealing buffer
buffer,A1,09999210,E3,10,annealing buffer
buffer,A1,09999210,E5,10,annealing buffer
buffer,A1,09999210,E7,10,annealing buffer
buffer,A1,09999210,F3,13,annealing buffer
buffer,A1,09999210,F5,13,annealing buffer
buffer,A1,09999210,F7,13,annealing buffer
buffer,A1,09999900,F1,65.7,annealing buffer
buffer,A1,09999900,F2,13.6,annealing buffer
buffer,A1,09999900,F3,65.7,annealing buffer
