SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
buffer,A1,09999220,B2,9,annealing buffer
buffer,A1,09999220,B3,9,annealing buffer
buffer,A1,09999220,B4,9,annealing buffer
buffer,A1,09999220,C2,9,annealing buffer
buffer,A1,09999220,C3,9,annealing buffer
buffer,A1,09999220,C4,9,annealing buffer
buffer,A1,09999220,D2,9,annealing buffer
buffer,A1,09999220,D3,9,annealing buffer
buffer,A1,09999220,D4,9,annealing buffer
buffer,A1,09999220,E2,10,annealing buffer
buffer,A1,09999220,E3,10,annealing buffer
buffer,A1,09999210,B2,9,annealing buffer
buffer,A1,09999210,B3,9,annealing buffer
buffer,A1,09999210,B4,9,annealing buffer
buffer,A1,09999210,C2,9,annealing buffer
buffer,A1,09999210,C3,9,annealing buffer
buffer,A1,09999210,D2,9,annealing buffer
buffer,A1,09999210,D3,9,annealing buffer
buffer,A1,09999210,D4,9,annealing buffer
buffer,A1,09999210,E2,10,annealing buffer
buffer,A1,09999210,E3,10,annealing buffer
buffer,A1,09999912,B2,99,annealing buffer
buffer,A1,09999912,B3,99,annealing buffer
buffer,A1,09999912,B4,99,annealing buffer
buffer,A1,09999912,C2,99,annealing buffer
buffer,A1,09999912,C3,99,annealing buffer
buffer,A1,09999912,C4,99,annealing buffer
buffer,A1,09999912,D2,99,annealing buffer
buffer,A1,09999912,D3,99,annealing buffer
buffer,A1,09999912,D4,99,annealing buffer
buffer,A1,09999911,B2,99,annealing buffer
buffer,A1,09999911,B3,99,annealing buffer
buffer,A1,09999911,B4,99,annealing buffer
buffer,A1,09999911,C2,99,annealing buffer
buffer,A1,09999911,C3,99,annealing buffer
buffer,A1,09999911,D2,99,annealing buffer
buffer,A1,09999911,D3,99,annealing buffer
buffer,A1,09999911,D4,99,annealing buffer
