SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
buffer,A1,08888822,B2,2,annealing buffer
buffer,A1,08888822,D2,2,annealing buffer
buffer,A1,08888822,F2,2,annealing buffer
buffer,A1,08888822,H2,4,annealing buffer
buffer,A1,08888822,I10,2,annealing buffer
buffer,A1,08888822,K10,2,annealing buffer
buffer,A1,08888822,M10,2,annealing buffer
buffer,A1,08888822,O10,4,annealing buffer
buffer,A1,08888823,B2,2,annealing buffer
buffer,A1,08888823,D2,2,annealing buffer
buffer,A1,08888823,F2,2,annealing buffer
buffer,A1,08888823,H2,4,annealing buffer
buffer,A1,08888823,I10,2,annealing buffer
buffer,A1,08888823,K10,2,annealing buffer
buffer,A1,08888823,M10,2,annealing buffer
buffer,A1,08888823,O10,4,annealing buffer
buffer,A1,08888812,B2,2,annealing buffer
buffer,A1,08888812,D2,2,annealing buffer
buffer,A1,08888812,F2,2,annealing buffer
buffer,A1,08888812,H2,4,annealing buffer
buffer,A1,08888812,I10,2,annealing buffer
buffer,A1,08888812,K10,2,annealing buffer
buffer,A1,08888812,M10,2,annealing buffer
buffer,A1,08888812,O10,4,annealing buffer
buffer,A1,08888813,B2,2,annealing buffer
buffer,A1,08888813,D2,2,annealing buffer
buffer,A1,08888813,F2,2,annealing buffer
buffer,A1,08888813,H2,4,annealing buffer
buffer,A1,08888813,I10,2,annealing buffer
buffer,A1,08888813,K10,2,annealing buffer
buffer,A1,08888813,M10,2,annealing buffer
buffer,A1,08888813,O10,4,annealing buffer
buffer,A1,09999900,B1,26.2,annealing buffer
buffer,A1,09999900,D1,19.7,annealing buffer
buffer,A1,09999900,F1,19.7,annealing buffer
