SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,Volume,DiluentInformation
buffer,A1,08888822,B2,2,annealing buffer
buffer,A1,08888822,D2,2,annealing buffer
buffer,A1,08888822,F2,2,annealing buffer
buffer,A1,08888822,H2,4,annealing buffer
buffer,A1,08888822,I10,2,annealing buffer
buffer,A1,08888822,K10,2,annealing buffer
buffer,A1,08888822,M10,2,annealing buffer
buffer,A1,08888822,O10,4,annealing buffer
buffer,A1,08888812,B2,2,annealing buffer
buffer,A1,08888812,D2,2,annealing buffer
buffer,A1,08888812,F2,2,annealing buffer
buffer,A1,08888812,H2,4,annealing buffer
buffer,A1,08888812,I10,2,annealing buffer
buffer,A1,08888812,K10,2,annealing buffer
buffer,A1,08888812,M10,2,annealing buffer
buffer,A1,08888812,O10,4,annealing buffer
buffer,A1,09999900,B1,18.7,annealing buffer
buffer,A1,09999900,D1,13.5,annealing buffer
buffer,A1,09999900,F1,13.5,annealing buffer
