"Design Rack Label";"Source Well in ISO Plate";"Target Well in Cell Plate";"Final Concentration in nM";"ISO Concentration in nM";"ISO Volume in ul"
1;"A1";"B2";10;560;3.2
1;"B1";"E2";10;560;3.2
1;"C1";"K2";"None";"None";5.4
1;"C1";"K3";"None";"None";5.4
1;"D1";"B3";20;1120;3.2
1;"E1";"E3";20;1120;3.2
1;"F1";"C2";10;560;3.2
1;"G1";"L2";"None";"None";5.4
1;"G1";"L3";"None";"None";5.4
1;"H1";"C3";20;1120;3.2
2;"A2";"B2";10;560;3.2
2;"B2";"E2";10;560;3.2
2;"C2";"K2";"None";"None";5.4
2;"C2";"K3";"None";"None";5.4
2;"D2";"B3";20;1120;3.2
2;"E2";"E3";20;1120;3.2
2;"F2";"C2";10;560;3.2
2;"G2";"L2";"None";"None";5.4
2;"G2";"L3";"None";"None";5.4
2;"H2";"C3";20;1120;3.2
